,Unnamed: 0,Species,Atlas,Tissue,Status,Platform,Seq-type,Year,Accession,Link,Datasets,DOI,DatasetsURL,share
0,1,Human,Adult,Cerebral cortex,Multiple sclerosis,Chromium,snRNA-seq,2019,PRJNA544731,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA544731,human_brain_Microglia_Schirmer_2019_10x,10.1038/s41586-019-1404-z,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EXpky_wl0SVDgyzxkLSNem4B3Od7Wdmc5swOYz9LOnwTCA?e=GS1guh,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EXpky_wl0SVDgyzxkLSNem4B3Od7Wdmc5swOYz9LOnwTCA?e=GS1guh&Download=1
1,2,Human,Adult,Motor cortex,Amyotrophic lateral sclerosis,Chromium,snRNA-seq,2021,GSE174332,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174332,human_brain_motor_cortex_Pineda_2021_10x,10.1101/2021.07.07.451374,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ETV2krHbtBpIlj7QkDkHGpUBNfWXPnP2dCl8a_Yn_cl7Hg?e=Ngo6Ak,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ETV2krHbtBpIlj7QkDkHGpUBNfWXPnP2dCl8a_Yn_cl7Hg?e=Ngo6Ak&Download=1
2,3,Human,Adult,Motor cortex,Frontotemporal lobar degeneration,Chromium,snRNA-seq,2021,GSE174332,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174332,human_brain_motor_cortex_Pineda_2021_10x,10.1101/2021.07.07.451374,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ETV2krHbtBpIlj7QkDkHGpUBNfWXPnP2dCl8a_Yn_cl7Hg?e=Ngo6Ak,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ETV2krHbtBpIlj7QkDkHGpUBNfWXPnP2dCl8a_Yn_cl7Hg?e=Ngo6Ak&Download=1
3,4,Human,Adult,Cerebral cortex,Autism spectrum disorder,Chromium,snRNA-seq,2019,PRJNA434002,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA434002,human_brain_source_Velmeshev_2019,10.1126/science.aav8130,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EdFN2aSEp5NFs1knBdpYTBABh8nIT1G7aa4vhueqMhLvfA?e=NpUEmW,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EdFN2aSEp5NFs1knBdpYTBABh8nIT1G7aa4vhueqMhLvfA?e=NpUEmW&Download=1
4,5,Human,Adult,White matter,Multiple sclerosis,Chromium,snRNA-seq,2019,GSE118257,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118257,human_brain_WhiteMatter_Jakel_2019_10x,10.1038/s41586-019-0903-2,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ERauHbJXVgVHkyLukOLn_gUBGG7pZm3Dql72WK34hZ22Fg?e=sYSWIP,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ERauHbJXVgVHkyLukOLn_gUBGG7pZm3Dql72WK34hZ22Fg?e=sYSWIP&Download=1
5,6,Human,Adult,Brain vasculature,Alzheimer's disease,Chromium,snRNA-seq,2021,GSE160936,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160936,human_brain_Microglia_Tsartsalis_2021_10x,10.1101/2021.10.27.465860,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EfzadugTaWpDrByWbuV0YYQBfQAibliCE2qc_srda9ko_w?e=6tc4Tf,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EfzadugTaWpDrByWbuV0YYQBfQAibliCE2qc_srda9ko_w?e=6tc4Tf&Download=1
6,7,Human,Adult,Substantia nigra,Healthy,Chromium,snRNA-seq,2020,GSE140231,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140231,human_brain_FC_Agarwal_2020_10x,10.1038/s41467-020-17876-0,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EV5dj8gs4rxBhYi6qtJ-aIUB584C-HnScLuSlc1_zg9Tuw?e=UZabSh,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EV5dj8gs4rxBhYi6qtJ-aIUB584C-HnScLuSlc1_zg9Tuw?e=UZabSh&Download=1
7,8,Human,Fetal,Ganglionic eminences,Development,Chromium,scRNA-seq,2021,GSE135827,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135827,human_brain_Ganglionic_eminences_Shi_2021_10x,10.1126/science.abj6641,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Ee79p1e0Y0JItqecrE3LygwBGVpEgXnYKsJT21XjRJap4Q?e=ZTATk8,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Ee79p1e0Y0JItqecrE3LygwBGVpEgXnYKsJT21XjRJap4Q?e=ZTATk8&Download=1
8,9,Human,Tumour,Tumour,Glioma,Chromium,scRNA-seq,2022,GSE173279,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173279,human_brain_GBMs_LeBlanc_2021_10x,10.1016/j.ccell.2022.02.016,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EXVqPObCVcZLm_rStnoTeT8B2bJrtHj1TVuuc578oAvgpA?e=vounrm,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EXVqPObCVcZLm_rStnoTeT8B2bJrtHj1TVuuc578oAvgpA?e=vounrm&Download=1
9,10,Human,Tumour,Tumour,Glioma,Chromium,scRNA-seq,2022,GSE173278,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173278,human_brain_GBMs_LeBlanc_2021_10x,10.1016/j.ccell.2022.02.016,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EXVqPObCVcZLm_rStnoTeT8B2bJrtHj1TVuuc578oAvgpA?e=vounrm,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EXVqPObCVcZLm_rStnoTeT8B2bJrtHj1TVuuc578oAvgpA?e=vounrm&Download=1
10,11,Human,Tumour,Organoid,Glioma,Chromium,scRNA-seq,2022,GSE193884,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193884,human_brain_GBMs_LeBlanc_2021_10x,10.1016/j.ccell.2022.02.016,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EXVqPObCVcZLm_rStnoTeT8B2bJrtHj1TVuuc578oAvgpA?e=vounrm,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EXVqPObCVcZLm_rStnoTeT8B2bJrtHj1TVuuc578oAvgpA?e=vounrm&Download=1
11,12,Human,Tumour,Tumour,Glioma,STRT-seq,scRNA-seq,2020,GSE117891,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117891,human_brain_glioma_Yu_2020_STRTseq,10.1093/nsr/nwaa099,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVFYoskvkjxCiDFh_O-gWT4BvQJ0blAIR5kj7Ulqfg6zdQ?e=9czgec,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVFYoskvkjxCiDFh_O-gWT4BvQJ0blAIR5kj7Ulqfg6zdQ?e=9czgec&Download=1
