"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AACS",0,0.717591080116772,0.694,0.377,0
"AAK1",0,0.526994705132794,0.968,0.9,0
"AARSD1",0,0.295409697363289,0.453,0.284,0
"AASS",0,-0.302825117339101,0.049,0.172,0
"ABCA1",0,-0.641997825482391,0.063,0.293,0
"ABCA10",0,0.421621734659826,0.716,0.524,0
"ABCA17P",0,0.832369745698178,0.699,0.363,0
"ABCA2",0,0.317772327808203,0.599,0.427,0
"ABCA3",0,0.584251530456926,0.806,0.603,0
"ABCA5",0,0.407794096441012,0.93,0.789,0
"ABCA6",0,0.402005309862362,0.586,0.376,0
"ABCA9",0,0.376693549566428,0.548,0.344,0
"ABCB9",0,0.526371425584464,0.671,0.465,0
"ABCC10",0,0.271286072894548,0.417,0.266,0
"ABCC5",0,0.423099459603795,0.871,0.738,0
"ABCC8",0,0.346253687350722,0.564,0.393,0
"ABCD4",0,0.309138698241765,0.568,0.414,0
"ABHD18",0,0.361889994333292,0.852,0.721,0
"ABHD2",0,0.466119847174109,0.841,0.673,0
"ABHD3",0,0.56019854272069,0.508,0.284,0
"ABI2",0,0.499650847343839,0.963,0.871,0
"ABL2",0,0.449808773033541,0.878,0.752,0
"ABLIM1",0,0.497885348712229,0.945,0.82,0
"ABLIM2",0,0.857259595075148,0.901,0.671,0
"ABO",0,0.469419620277523,0.309,0.069,0
"ABR",0,0.623128791845617,0.878,0.744,0
"ACAA1",0,0.279581677902625,0.471,0.316,0
"ACACA",0,0.46862602184003,0.952,0.878,0
"ACAD11",0,0.348724789549596,0.715,0.537,0
"ACADSB",0,0.399078215820143,0.664,0.481,0
"ACADVL",0,0.589990320619007,0.695,0.455,0
"ACAP2",0,0.829541603460362,0.953,0.843,0
"ACAP3",0,0.740996932909423,0.832,0.608,0
"ACBD6",0,0.642686921369063,0.935,0.83,0
"ACER2",0,0.414334153909657,0.367,0.178,0
"ACO1",0,0.553555705965284,0.672,0.475,0
"ACOT11",0,0.304270669603374,0.413,0.255,0
"ACOT7",0,0.385723489490801,0.676,0.513,0
"ACSL4",0,0.427481225706537,0.808,0.679,0
"ACTL6B",0,0.328201687409737,0.545,0.368,0
"ACTN1",0,1.10146962856247,0.891,0.586,0
"ACTN4",0,0.493983999086161,0.722,0.533,0
"ACTR2",0,0.479532474175487,0.854,0.685,0
"ACTR3",0,0.288582633771522,0.677,0.531,0
"ACVR1",0,0.927122329287171,0.649,0.377,0
"ACVR1C",0,0.601643721241908,0.434,0.203,0
"ACVR2A",0,0.761289145104775,0.908,0.704,0
"ACYP2",0,0.387083924095845,0.934,0.862,0
"ADAM10",0,0.370452099832799,0.848,0.72,0
"ADAM11",0,0.518095510884103,0.553,0.281,0
"ADAM17",0,0.453977672892575,0.825,0.645,0
"ADAM22",0,0.579907613452237,0.961,0.856,0
"ADAM23",0,0.601682803811494,0.977,0.821,0
"ADAM29",0,0.261693295104264,0.226,0.101,0
"ADAM32",0,0.647238877475958,0.587,0.298,0
"ADAM9",0,0.46336300809526,0.688,0.48,0
"ADAMTS16",0,1.34735438180715,0.577,0.124,0
"ADAMTS3",0,1.56333624049837,0.577,0.202,0
"ADAMTS6",0,-0.691785067058397,0.038,0.161,0
"ADAMTSL4-AS1",0,0.360426416688833,0.361,0.165,0
"ADAP1",0,0.328369347536243,0.418,0.24,0
"ADARB1",0,0.644425418328482,0.784,0.556,0
"ADARB2",0,-1.82576871050819,0.351,0.542,0
"ADCK1",0,0.261946027452408,0.394,0.247,0
"ADCY1",0,1.03675844514582,0.873,0.549,0
"ADCY8",0,0.850831177326334,0.797,0.372,0
"ADCY9",0,0.856940707303975,0.858,0.646,0
"ADD2",0,1.02063600410594,0.912,0.68,0
"ADGRA2",0,0.353320107966646,0.269,0.076,0
"ADGRB1",0,0.644184347417628,0.75,0.52,0
