"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AACS",0,0.304953491448317,0.694,0.492,0
"AAK1",0,0.410593531146035,0.968,0.758,0
"ABAT",0,0.273786338711217,0.688,0.464,0
"ABCA17P",0,0.555158795704559,0.699,0.42,0
"ABCA3",0,0.330807754166996,0.806,0.598,0
"ABCB9",0,0.388841510009624,0.671,0.468,0
"ABCC1",0,0.327952319900382,0.587,0.362,0
"ABCC5",0,0.346151181500787,0.871,0.646,0
"ABCD3",0,0.300449622134089,0.588,0.385,0
"ABCD4",0,0.297340016106552,0.568,0.378,0
"ABHD12",0,0.325539075087897,0.638,0.449,0
"ABHD17B",0,0.261853875658401,0.518,0.33,0
"ABHD17C",0,0.302155461743201,0.468,0.257,0
"ABHD18",0,0.3650425178622,0.852,0.586,0
"ABHD2",0,0.35346884486481,0.841,0.618,0
"ABHD3",0,0.441272687526086,0.508,0.309,0
"ABI1",0,0.331211218352059,0.829,0.577,0
"ABI2",0,0.364359277446669,0.963,0.738,0
"ABL2",0,0.454439777430015,0.878,0.618,0
"ABLIM1",0,0.690674975785591,0.945,0.679,0
"ABLIM2",0,0.48256595689269,0.901,0.692,0
"ABLIM3",0,0.405781532032269,0.532,0.284,0
"ABO",0,0.336603863148464,0.309,0.143,0
"ABR",0,0.452727027429798,0.878,0.582,0
"ACACA",0,0.487565580614514,0.952,0.61,0
"ACAD11",0,0.445487887840482,0.715,0.421,0
"ACADSB",0,0.371428296081638,0.664,0.431,0
"ACAP2",0,0.532674631584275,0.953,0.704,0
"ACAP3",0,0.424482085424411,0.832,0.59,0
"ACBD6",0,0.554906702925003,0.935,0.66,0
"ACIN1",0,0.314887318314058,0.708,0.495,0
"ACO1",0,0.586299489933976,0.672,0.404,0
"ACSL3",0,0.255872476359317,0.817,0.597,0
"ACSL4",0,0.464563220974129,0.808,0.574,0
"ACTB",0,0.252032626353326,0.808,0.587,0
"ACTN1",0,0.453690904839316,0.891,0.649,0
"ACTN2",0,0.358852097152352,0.562,0.352,0
"ACTN4",0,0.432997205286782,0.722,0.435,0
"ACTR3",0,0.30042766051462,0.677,0.457,0
"ACVR1",0,0.583011363002363,0.649,0.407,0
"ACVR1C",0,0.356570385967874,0.434,0.231,0
"ACVR2A",0,0.75907368304287,0.908,0.687,0
"ACYP2",0,0.501514186353796,0.934,0.666,0
"ADAM10",0,0.302957104965957,0.848,0.61,0
"ADAM17",0,0.336577360836309,0.825,0.561,0
"ADAM22",0,0.588139483490131,0.961,0.746,0
"ADAM23",0,0.436737547404038,0.977,0.754,0
"ADAM32",0,0.387748539760823,0.587,0.342,0
"ADAM9",0,0.350352717738545,0.688,0.426,0
"ADAMTS10",0,0.328642035663556,0.534,0.349,0
"ADAMTS16",0,0.629339330703614,0.577,0.373,0
"ADAMTS3",0,0.717164410498171,0.577,0.333,0
"ADAMTSL1",0,1.50273928360781,0.447,0.238,0
"ADAR",0,0.26559504055009,0.723,0.512,0
"ADARB1",0,0.317121879914961,0.784,0.553,0
"ADCY3",0,0.325340043618722,0.615,0.41,0
"ADCY9",0,0.53231527754785,0.858,0.634,0
"ADD2",0,0.535991951912023,0.912,0.714,0
"ADD3",0,0.635671231686097,0.887,0.58,0
"ADGRB1",0,0.452639617734993,0.75,0.533,0
"ADGRB3",0,0.563270756357388,1,0.949,0
"ADGRL1",0,0.4736927571013,0.798,0.612,0
"ADGRL2",0,0.76942656540973,0.976,0.792,0
"ADGRL3",0,0.788963666607723,0.999,0.913,0
"ADIPOR2",0,0.264764558326521,0.632,0.415,0
"ADK",0,0.468947976223852,0.964,0.764,0
"ADNP",0,0.370225823907684,0.873,0.62,0
"ADSS2",0,0.501285237219341,0.638,0.34,0
"AEBP2",0,0.568918330783358,0.98,0.77,0
"AFAP1",0,0.522175697567217,0.676,0.469,0
"AFDN",0,0.75803289208293,0.902,0.517,0
"AFF2",0,0.750140085400832,0.744,0.494,0
"AFF3",0,1.02401878133932,0.972,0.861,0
"AFF4",0,0.457328342913669,0.91,0.65,0
"AFG1L",0,0.409843733155763,0.619,0.365,0
"AFTPH",0,0.266480005138206,0.74,0.513,0
"AGAP1",0,0.788114114128458,0.989,0.836,0
"AGAP3",0,0.400917678290847,0.721,0.506,0
"AGBL4",0,0.599247570608828,0.996,0.93,0
"AGFG1",0,0.353955951228667,0.874,0.603,0
"AGO3",0,0.554271382582789,0.91,0.644,0
"AGPAT4",0,0.42101737236972,0.889,0.664,0
"AGPS",0,0.28335310606825,0.714,0.48,0
"AGTPBP1",0,0.405429398136328,0.92,0.69,0
