"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ABCA1",0,1.81999006562108,0.677,0.15,0
"EYA2",0,2.76271795091018,0.72,0.127,0
"FOXP2",0,4.45758824901805,0.791,0.15,0
"GRM4",0,1.65241288209769,0.859,0.194,0
"ITGA6",0,1.61697244729187,0.671,0.147,0
"LMNTD1",0,1.7648055997573,0.449,0.045,0
"MEIS2",0,3.6834441130978,0.995,0.433,0
"NPFFR2",0,2.49117649377132,0.688,0.124,0
"PBX3",0,4.27189221376106,0.991,0.249,0
"RGS9",0,1.41510431217354,0.712,0.153,0
"SIX3",0,0.691830592626345,0.395,0.011,0
"SV2C",0,2.71658362671266,0.845,0.145,0
"TSHZ1",0,2.92410473672593,0.976,0.35,0
"WFS1",0,1.31728775326231,0.624,0.12,0
"ZNF736P9Y",0,1.57867258394788,0.54,0.069,0
"GABRQ",7.70461639671977e-306,1.12116584167445,0.441,0.048,3.13924595084347e-301
"SPATA13",5.64871426684563e-296,1.69835940161186,0.912,0.39,2.30156862802625e-291
"LUZP2",9.77113198790323e-286,2.55896765888658,0.963,0.706,3.98124772847117e-281
"DOCK10",1.03060096074977e-285,2.39100065321411,0.957,0.555,4.19918361457493e-281
"CACNG5",6.72418476660022e-281,1.19675956005484,0.499,0.074,2.73976908315126e-276
"GALNTL6",8.65737291761773e-280,2.06922576493991,0.991,0.789,3.52744659528334e-275
"TRHDE",1.16024860541067e-279,1.61854435883495,0.938,0.415,4.72743294274577e-275
"PTPRD",8.67144543516734e-277,-3.84195714142985,0.752,0.971,3.53318044255893e-272
"TCF4",1.23390977566422e-274,-2.2280874844394,0.39,0.956,5.02756538094387e-270
"LINC01833",7.5692339441508e-271,0.359748803660374,0.23,0.006,3.08408437054424e-266
"SYT10",2.66155292842221e-269,1.41276679660536,0.511,0.085,1.08444974068563e-264
"RASSF8",8.09408489841702e-265,1.88511268096221,0.86,0.375,3.29793489186001e-260
"SLC35F4",7.41484511021844e-261,2.50601759656352,0.819,0.366,3.0211786401585e-256
"GNG4",1.92901948017223e-259,1.48410224127091,0.896,0.367,7.85978987196177e-255
"EPS8",7.556934146771e-257,1.71456981972666,0.781,0.274,3.07907281810185e-252
"HS6ST2",9.59251560746818e-257,1.8431304592543,0.892,0.403,3.90847048426291e-252
"EPHA6",8.41609761080465e-248,2.05625553176249,0.974,0.799,3.42913897152235e-243
"FRMD7",7.36001004243125e-245,0.539404869510213,0.183,0.002,2.99883609178861e-240
"LINGO2",6.63009092889758e-244,-2.89864885064459,0.371,0.876,2.70143054897932e-239
"GRIK3",1.61735462756572e-243,1.32283242362614,0.897,0.342,6.58991143001651e-239
"MEIS1",9.40878698501139e-242,1.3542491757082,0.627,0.159,3.83361025704289e-237
"SLC24A2",6.3966813715645e-241,-2.93545180665023,0.152,0.773,2.60632782484396e-236
"KIRREL1",9.9141790623412e-240,1.23307362307622,0.646,0.165,4.03953225895092e-235
"SYNPR",1.81881265967696e-239,1.75730559242684,0.97,0.596,7.41075218185377e-235
"KCND2",3.3896388521758e-238,1.95724068776453,0.985,0.871,1.38110835031903e-233
"PCDH11Y",2.23381293394299e-236,2.272500304409,0.817,0.403,9.10167079935071e-232
"NRG3",5.03705607781564e-235,-2.42231991794667,0.858,0.97,2.05234849890598e-230
"NR2F1-AS1",5.40999930295769e-231,-2.0744227174082,0.178,0.805,2.20430421599011e-226
"SOX1-OT",8.7719574120905e-231,1.08690738028772,0.734,0.213,3.57413404755627e-226
"MVB12B",1.07276101624908e-230,1.5988336276878,0.973,0.715,4.37096476070688e-226
"RPS6KA5",1.38034714988918e-229,1.53024213181713,0.941,0.604,5.62422446222348e-225
"LINC00354",8.02154666017948e-225,0.871486081282166,0.468,0.083,3.26837918669013e-220
"LINC01550",3.69449589688541e-223,0.955243556200471,0.39,0.056,1.50532235318596e-218
"PDIA5",2.09321238554514e-220,1.20050758052429,0.693,0.23,8.52879386490369e-216
"GAD2",3.10845558609666e-218,0.8728259751865,0.902,0.314,1.26654022855509e-213
"ERBB4",2.52828111330269e-216,2.1002276818437,0.946,0.659,1.03014813961518e-211
"PBX1",6.33644409898351e-216,1.43684924225772,1,0.91,2.58178414813083e-211
"OTOF",8.65099548752529e-214,1.24377383333515,0.597,0.15,3.52484811139218e-209
"TRHDE-AS1",1.94412838682193e-213,1.02708995597076,0.705,0.214,7.92135111210594e-209
"SOX5",1.17051796870449e-212,-3.03864043048324,0.257,0.776,4.76927546348645e-208
"PEG10",1.4606701124564e-208,1.59325052386973,0.855,0.424,5.95150037320361e-204
"CUBN",1.91458755129811e-208,1.17534128053476,0.556,0.139,7.80098697776413e-204
"GDNF-AS1",3.18199707594076e-208,1.16548217077895,0.347,0.047,1.29650470859206e-203
"MPPED2",3.48059204952675e-208,1.37304252755703,0.934,0.558,1.41816723057967e-203
"ZFHX4",5.82082128005979e-208,1.37400864613684,0.645,0.189,2.37169363056036e-203
"CAPSL",2.08097244343965e-205,0.36936222836678,0.2,0.009,8.47892222079486e-201
"VWC2L",4.5504669391779e-202,2.43093874500133,0.697,0.281,1.85408775436804e-197
"PCDH11X",1.40772171063197e-201,2.38741144485772,0.864,0.584,5.73576210996996e-197
"ZADH2",2.4058124782039e-201,1.19839135350028,0.829,0.393,9.80248294244177e-197
"TMEM47",2.05870774954334e-198,1.23908437569072,0.751,0.313,8.38820472551436e-194
"SOX2-OT",1.41944227969484e-197,1.63845651757942,0.954,0.742,5.78351756861661e-193
"ACVR1C",1.99647109095455e-197,1.1412878824196,0.62,0.177,8.1346214600943e-193
"GAD1",7.00637793440854e-197,1.01890959840023,0.941,0.386,2.85474868937476e-192
"RARB",4.1657137654761e-196,2.14021081523656,0.696,0.274,1.69732007374324e-191
"ADARB2",1.29978237691777e-194,0.985207940233639,0.975,0.562,5.29596329475146e-190
"ZBTB20",3.13620864050358e-194,1.54300434193531,0.954,0.636,1.27784821057318e-189
"MAML3",2.436713197777e-193,1.38791393389049,0.959,0.589,9.92838792434238e-189
"GNAL",1.76339771134002e-189,1.31183754183525,0.983,0.746,7.1849639748549e-185
"RASSF8-AS1",2.71060377614164e-188,1.21867741751151,0.786,0.388,1.10443550858891e-183
"RD3",3.26300802422265e-188,0.25751588395752,0.155,0.004,1.32951261946952e-183
"TLL1",4.83141411670993e-187,1.50815772965972,0.79,0.35,1.96855968185346e-182
"MAST4",7.20641999194255e-187,-1.65159489237815,0.28,0.817,2.93625582571699e-182
"PPP3CA",1.08464560389565e-185,1.35026540663276,0.989,0.954,4.41938851307282e-181
"PRSS35",1.69358502095183e-185,0.354598960719896,0.175,0.007,6.90051216786822e-181
"TMEM108",2.34659707284177e-185,-2.09095672576108,0.453,0.899,9.56120977329379e-181
"SEMA5B",5.99765728753484e-185,1.40404203375618,0.873,0.537,2.44374546180607e-180
"PCBP3",9.98712858118652e-183,1.98657764453957,0.816,0.402,4.06925554040445e-178
"N4BP2",9.57759579231177e-180,1.158423721735,0.845,0.435,3.90239140557743e-175
"RERG",5.2694003095252e-179,1.31596076465713,0.828,0.388,2.14701715611604e-174
"NRG1",1.55739918396616e-178,1.52879923980778,0.972,0.752,6.34562297507013e-174
"PPFIBP1",1.47317268202532e-175,-1.82659582700771,0.238,0.74,6.00244209291218e-171
"PARD3",2.75200317509283e-175,1.29340950532243,0.928,0.596,1.12130369369157e-170
"STON2",8.74237188279625e-174,1.1467010308607,0.528,0.147,3.56207942364533e-169
"PDZRN3",2.00465849074672e-172,-2.20193776154758,0.194,0.72,8.16798102054752e-168
"NOS1",1.13839612582314e-171,0.679949207142253,0.699,0.256,4.63839501466638e-167
"PLPPR1",6.5499000235577e-171,1.33860617613402,0.916,0.539,2.66875676459859e-166
"SORCS2",7.25022022941209e-170,1.32122848356765,0.875,0.513,2.95410223247396e-165
"PTPRM",7.61957801348516e-170,1.27024389436534,0.962,0.761,3.10459706159453e-165
"COL11A1",1.37794680038694e-169,1.46587201316688,0.668,0.245,5.61444423817658e-165
"DIRAS3",3.15446769325619e-169,0.918015575345596,0.444,0.103,1.28528786161724e-164
"MYRIP",2.96440817073961e-167,-1.99006400959304,0.344,0.802,1.20784810916785e-162
"STRIP2",1.04691920176137e-165,1.0493483681221,0.681,0.262,4.2656722875767e-161
"KIAA1958",6.58750552554878e-165,1.09795012310396,0.934,0.579,2.68407912638485e-160
"ATP11C",1.33506932493092e-164,0.870383862430256,0.621,0.194,5.43973996443104e-160
"SLC44A5",3.73613442757089e-163,-1.97081483076526,0.255,0.753,1.52228797251376e-158
"VAT1L",3.81632286288902e-163,1.43121492766763,0.801,0.438,1.55496075048413e-158
"MKX",5.73277410778042e-163,1.0152479203092,0.571,0.17,2.33581881021513e-158
"NPAS3",6.34061525212006e-163,-2.0459629784504,0.494,0.89,2.58348368447632e-158
"TRDMT1",2.89801199584293e-161,1.15526301966243,0.77,0.389,1.1807949877062e-156
"ZSWIM6",7.85179995330622e-161,1.37396068725507,0.981,0.874,3.19921589097462e-156
"GRAMD1B",8.14069059170016e-161,1.3982819830978,0.937,0.703,3.31692438158823e-156
"DSCAML1",8.43450635994698e-161,-1.57937181724236,0.34,0.865,3.4366396163604e-156
